City,Lat,Lng,Min_Temp,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
New Norfolk,-42.7826,147.0587,53.1,56.71,78,98,1.41,AU,1660363485
Batagay,67.6333,134.6333,59.18,59.18,54,80,10.92,RU,1660363485
Tāttayyangārpettai,11.1333,78.45,85.35,85.35,56,83,8.05,IN,1660363486
Bredasdorp,-34.5322,20.0403,43.3,43.3,86,54,4.7,ZA,1660363487
Nantucket,41.2835,-70.0995,66.02,67.14,45,99,6.85,US,1660363487
Byron Bay,-28.65,153.6167,58.71,59.94,94,100,2.71,AU,1660363466
Ureshinomachi-shimojuku,33.1,129.9833,88.18,88.75,61,70,10.92,JP,1660363488
Jamestown,42.097,-79.2353,50.95,58.71,66,0,1.01,US,1660363412
Butaritari,3.0707,172.7902,81.86,81.86,76,99,14.27,KI,1660363489
Trollhättan Municipality,58.2333,12.4167,49.66,55.4,93,46,2.3,SE,1660363489
Warrnambool,-38.3833,142.4833,56.95,56.95,69,68,9.28,AU,1660363490
Tiksi,71.6872,128.8694,41.95,41.95,76,32,12.06,RU,1660363490
Juradó,7.1053,-77.7641,76.8,76.8,90,100,3.13,CO,1660363491
Wenling,28.3669,121.36,88.66,88.66,67,1,13.98,CN,1660363491
Port-Cartier,50.0334,-66.8654,58.75,58.75,65,98,5.23,CA,1660363492
Saldanha,-33.0117,17.9442,49.55,49.55,77,50,3.58,ZA,1660363493
Khāsh,28.2211,61.2158,81.59,81.59,16,53,14.67,IR,1660363493
Hermanus,-34.4187,19.2345,39.79,39.79,76,45,6.17,ZA,1660363493
Oktyabr'skoye,43.0645,44.7417,66.34,68.14,93,0,0.0,RU,1660363494
Bambous Virieux,-20.3428,57.7575,66.45,71.22,82,40,10.36,MU,1660363494
Thompson,55.7435,-97.8558,54.72,54.72,71,66,3.29,CA,1660363475
Nome,64.5011,-165.4064,50.07,51.17,93,100,8.05,US,1660363495
Henties Bay,-22.116,14.2845,52.84,52.84,90,10,6.89,NA,1660363495
Ushuaia,-54.8,-68.3,35.26,35.26,80,75,17.27,AR,1660363496
Busselton,-33.65,115.3333,55.63,55.63,93,100,27.54,AU,1660363496
Guerrero Negro,27.9769,-114.0611,73.58,73.58,80,21,14.27,MX,1660363497
Pangody,65.85,74.4859,57.9,57.9,87,100,5.41,RU,1660363498
Mar del Plata,-38.0023,-57.5575,51.87,54.09,87,100,5.99,AR,1660363498
Shimoda,34.6667,138.95,76.1,76.1,96,100,24.32,JP,1660363499
Salalah,17.0151,54.0924,75.29,75.29,97,100,6.73,OM,1660363499
Matara,5.9485,80.5353,83.53,83.53,70,79,11.14,LK,1660363500
Saint-Philippe,-21.3585,55.7679,63.1,64.22,80,80,16.51,RE,1660363500
Puerto Escondido,15.85,-97.0667,79.63,79.63,65,40,5.75,MX,1660363501
